USER_ID,Predictions
2,Democrat
3,Democrat
6,Democrat
7,Democrat
14,Democrat
28,Republican
29,Democrat
37,Republican
44,Democrat
56,Democrat
62,Democrat
68,Democrat
72,Democrat
74,Democrat
80,Democrat
81,Republican
87,Democrat
92,Democrat
96,Democrat
100,Democrat
104,Democrat
105,Republican
108,Democrat
124,Democrat
125,Democrat
127,Republican
128,Democrat
129,Democrat
130,Democrat
139,Democrat
149,Democrat
151,Democrat
154,Democrat
158,Democrat
159,Democrat
168,Republican
177,Democrat
185,Democrat
192,Democrat
195,Democrat
198,Democrat
208,Democrat
209,Democrat
213,Republican
225,Democrat
229,Democrat
231,Democrat
236,Republican
238,Democrat
239,Democrat
240,Democrat
244,Democrat
259,Democrat
260,Democrat
264,Democrat
267,Democrat
268,Democrat
271,Democrat
272,Republican
274,Democrat
285,Democrat
286,Republican
296,Democrat
308,Democrat
310,Democrat
318,Democrat
333,Democrat
340,Democrat
342,Democrat
343,Democrat
344,Republican
345,Republican
346,Democrat
352,Democrat
354,Democrat
357,Democrat
366,Democrat
369,Democrat
380,Democrat
389,Democrat
391,Democrat
394,Democrat
396,Democrat
404,Republican
407,Democrat
422,Democrat
426,Republican
428,Democrat
429,Democrat
438,Republican
452,Democrat
462,Democrat
469,Democrat
480,Democrat
488,Democrat
489,Democrat
492,Democrat
498,Republican
505,Democrat
508,Democrat
510,Democrat
511,Democrat
512,Democrat
518,Democrat
519,Democrat
522,Republican
523,Democrat
528,Democrat
530,Democrat
543,Democrat
549,Democrat
553,Democrat
556,Democrat
558,Democrat
562,Democrat
563,Democrat
565,Democrat
567,Democrat
571,Democrat
572,Democrat
581,Republican
584,Democrat
600,Democrat
611,Democrat
617,Democrat
635,Democrat
642,Democrat
646,Democrat
648,Republican
651,Democrat
659,Democrat
661,Democrat
683,Democrat
685,Democrat
694,Democrat
699,Democrat
701,Democrat
702,Democrat
704,Democrat
713,Democrat
720,Democrat
725,Democrat
726,Republican
727,Democrat
732,Republican
733,Democrat
734,Democrat
741,Republican
747,Democrat
750,Democrat
752,Democrat
753,Republican
760,Democrat
774,Democrat
782,Democrat
803,Democrat
807,Democrat
813,Democrat
838,Democrat
839,Democrat
844,Democrat
846,Democrat
847,Democrat
863,Democrat
864,Democrat
866,Democrat
870,Republican
873,Republican
878,Democrat
883,Democrat
885,Democrat
886,Democrat
897,Republican
902,Democrat
907,Democrat
912,Democrat
914,Democrat
918,Democrat
924,Republican
932,Democrat
947,Democrat
948,Democrat
951,Democrat
958,Democrat
963,Democrat
965,Democrat
969,Democrat
973,Democrat
975,Democrat
983,Democrat
1002,Democrat
1015,Democrat
1019,Democrat
1020,Democrat
1029,Democrat
1030,Republican
1032,Democrat
1037,Republican
1048,Democrat
1050,Democrat
1053,Democrat
1056,Democrat
1057,Democrat
1062,Democrat
1067,Democrat
1071,Democrat
1073,Republican
1076,Democrat
1079,Democrat
1081,Democrat
1083,Democrat
1084,Democrat
1085,Republican
1087,Republican
1092,Democrat
1114,Republican
1117,Democrat
1124,Democrat
1129,Democrat
1133,Democrat
1148,Democrat
1151,Republican
1154,Republican
1157,Democrat
1158,Democrat
1162,Democrat
1166,Democrat
1167,Democrat
1171,Democrat
1177,Democrat
1179,Democrat
1191,Democrat
1199,Democrat
1200,Democrat
1206,Democrat
1208,Democrat
1209,Democrat
1215,Democrat
1218,Republican
1219,Democrat
1221,Democrat
1222,Democrat
1234,Democrat
1246,Democrat
1256,Democrat
1259,Democrat
1262,Democrat
1266,Republican
1284,Democrat
1288,Democrat
1298,Democrat
1301,Republican
1312,Democrat
1315,Republican
1316,Democrat
1322,Democrat
1328,Republican
1334,Republican
1342,Democrat
1344,Democrat
1362,Democrat
1364,Democrat
1367,Democrat
1371,Democrat
1374,Democrat
1381,Democrat
1383,Democrat
1402,Democrat
1409,Democrat
1416,Democrat
1421,Democrat
1427,Democrat
1429,Democrat
1431,Democrat
1440,Democrat
1442,Democrat
1446,Democrat
1451,Democrat
1452,Democrat
1464,Democrat
1472,Democrat
1473,Democrat
1474,Democrat
1484,Democrat
1490,Democrat
1497,Democrat
1499,Democrat
1503,Democrat
1511,Republican
1516,Democrat
1521,Democrat
1522,Democrat
1523,Republican
1529,Democrat
1536,Democrat
1540,Republican
1545,Democrat
1548,Democrat
1552,Democrat
1557,Democrat
1558,Democrat
1559,Democrat
1565,Democrat
1576,Democrat
1581,Republican
1592,Democrat
1594,Democrat
1600,Democrat
1604,Democrat
1613,Republican
1615,Democrat
1617,Democrat
1619,Democrat
1620,Democrat
1624,Democrat
1629,Republican
1630,Democrat
1637,Democrat
1643,Democrat
1645,Democrat
1649,Democrat
1654,Democrat
1668,Democrat
1680,Republican
1681,Republican
1683,Republican
1684,Democrat
1688,Republican
1689,Republican
1691,Democrat
1692,Democrat
1693,Democrat
1696,Democrat
1702,Democrat
1706,Democrat
1708,Democrat
1719,Democrat
1723,Democrat
1731,Republican
1734,Democrat
1736,Democrat
1748,Democrat
1750,Democrat
1751,Democrat
1757,Democrat
1763,Democrat
1766,Democrat
1767,Democrat
1776,Democrat
1782,Republican
1790,Democrat
1812,Republican
1816,Democrat
1819,Democrat
1824,Democrat
1831,Republican
1841,Democrat
1857,Democrat
1858,Republican
1860,Democrat
1873,Democrat
1876,Democrat
1878,Republican
1882,Democrat
1884,Democrat
1890,Republican
1905,Republican
1906,Republican
1913,Democrat
1918,Democrat
1921,Democrat
1925,Democrat
1936,Democrat
1940,Democrat
1941,Democrat
1947,Republican
1948,Democrat
1959,Republican
1963,Democrat
1966,Democrat
1968,Democrat
1975,Democrat
1978,Democrat
1982,Democrat
1995,Democrat
1999,Democrat
2002,Republican
2014,Democrat
2028,Democrat
2031,Democrat
2034,Republican
2036,Democrat
2037,Democrat
2040,Republican
2041,Democrat
2042,Democrat
2043,Republican
2056,Democrat
2058,Democrat
2064,Democrat
2069,Democrat
2080,Democrat
2083,Democrat
2087,Republican
2093,Democrat
2100,Democrat
2109,Republican
2113,Republican
2116,Democrat
2120,Democrat
2124,Democrat
2127,Democrat
2133,Democrat
2135,Republican
2137,Republican
2141,Democrat
2149,Democrat
2160,Democrat
2162,Democrat
2163,Democrat
2165,Democrat
2166,Democrat
2178,Democrat
2180,Democrat
2185,Democrat
2187,Democrat
2197,Democrat
2206,Democrat
2216,Democrat
2220,Democrat
2224,Democrat
2234,Democrat
2235,Democrat
2241,Democrat
2248,Republican
2259,Democrat
2262,Democrat
2274,Democrat
2275,Democrat
2298,Democrat
2304,Democrat
2307,Democrat
2309,Democrat
2312,Democrat
2324,Democrat
2335,Democrat
2336,Democrat
2338,Democrat
2348,Republican
2350,Democrat
2353,Democrat
2356,Republican
2362,Republican
2374,Republican
2377,Democrat
2378,Democrat
2379,Democrat
2386,Democrat
2390,Democrat
2398,Democrat
2402,Democrat
2405,Republican
2406,Democrat
2409,Democrat
2410,Democrat
2413,Democrat
2416,Democrat
2419,Democrat
2427,Democrat
2430,Democrat
2434,Democrat
2435,Democrat
2452,Democrat
2454,Democrat
2456,Democrat
2458,Democrat
2462,Democrat
2470,Democrat
2472,Democrat
2473,Democrat
2487,Republican
2488,Democrat
2493,Democrat
2496,Democrat
2499,Republican
2500,Democrat
2501,Democrat
2502,Democrat
2504,Democrat
2505,Democrat
2510,Democrat
2514,Democrat
2519,Democrat
2531,Democrat
2535,Democrat
2537,Republican
2539,Democrat
2540,Democrat
2547,Democrat
2548,Democrat
2551,Democrat
2552,Democrat
2555,Republican
2564,Democrat
2568,Democrat
2569,Democrat
2572,Democrat
2584,Democrat
2585,Democrat
2596,Democrat
2599,Democrat
2600,Democrat
2602,Democrat
2607,Democrat
2616,Republican
2617,Democrat
2628,Republican
2630,Democrat
2633,Democrat
2636,Democrat
2642,Democrat
2648,Democrat
2651,Democrat
2653,Democrat
2656,Democrat
2669,Democrat
2679,Democrat
2681,Democrat
2682,Democrat
2683,Democrat
2684,Democrat
2685,Democrat
2695,Democrat
2701,Democrat
2702,Democrat
2709,Democrat
2713,Democrat
2715,Democrat
2728,Democrat
2733,Democrat
2738,Democrat
2746,Democrat
2748,Republican
2752,Democrat
2753,Republican
2758,Democrat
2772,Democrat
2800,Democrat
2801,Democrat
2802,Democrat
2805,Republican
2814,Democrat
2816,Democrat
2827,Democrat
2831,Democrat
2832,Democrat
2845,Democrat
2849,Democrat
2856,Democrat
2861,Democrat
2862,Democrat
2869,Democrat
2880,Republican
2881,Democrat
2884,Republican
2887,Republican
2895,Democrat
2897,Democrat
2898,Democrat
2903,Democrat
2904,Democrat
2906,Democrat
2911,Democrat
2913,Democrat
2916,Democrat
2922,Republican
2930,Democrat
2933,Democrat
2938,Democrat
2944,Democrat
2945,Democrat
2948,Republican
2950,Democrat
2958,Democrat
2965,Democrat
2966,Democrat
2970,Democrat
2973,Democrat
2978,Democrat
2981,Democrat
2982,Democrat
2983,Republican
2985,Democrat
2989,Democrat
2990,Democrat
3003,Democrat
3020,Democrat
3022,Democrat
3035,Democrat
3039,Democrat
3042,Republican
3045,Republican
3049,Republican
3058,Republican
3061,Democrat
3064,Democrat
3073,Democrat
3074,Democrat
3077,Democrat
3091,Democrat
3096,Democrat
3100,Republican
3101,Democrat
3107,Democrat
3124,Democrat
3129,Democrat
3138,Democrat
3139,Democrat
3161,Democrat
3164,Democrat
3166,Democrat
3170,Republican
3172,Democrat
3174,Democrat
3183,Democrat
3192,Democrat
3197,Republican
3201,Democrat
3202,Republican
3214,Republican
3223,Democrat
3227,Democrat
3230,Democrat
3237,Democrat
3245,Democrat
3248,Democrat
3249,Democrat
3253,Democrat
3254,Democrat
3267,Democrat
3271,Democrat
3277,Democrat
3292,Democrat
3293,Republican
3298,Democrat
3302,Democrat
3304,Democrat
3310,Republican
3311,Democrat
3313,Democrat
3317,Democrat
3322,Democrat
3326,Democrat
3334,Democrat
3335,Republican
3343,Democrat
3347,Democrat
3353,Democrat
3357,Democrat
3359,Democrat
3368,Democrat
3369,Democrat
3372,Democrat
3376,Republican
3382,Democrat
3392,Democrat
3394,Republican
3395,Democrat
3412,Republican
3416,Democrat
3424,Democrat
3428,Democrat
3446,Democrat
3451,Democrat
3454,Democrat
3455,Democrat
3465,Democrat
3466,Democrat
3480,Democrat
3484,Democrat
3486,Democrat
3490,Democrat
3492,Democrat
3496,Democrat
3497,Democrat
3505,Democrat
3511,Democrat
3513,Republican
3515,Republican
3516,Democrat
3517,Democrat
3519,Democrat
3520,Democrat
3521,Democrat
3535,Democrat
3537,Democrat
3543,Democrat
3550,Democrat
3552,Democrat
3554,Democrat
3560,Democrat
3563,Democrat
3572,Democrat
3574,Democrat
3580,Democrat
3583,Democrat
3586,Democrat
3588,Democrat
3590,Democrat
3598,Democrat
3607,Democrat
3613,Democrat
3623,Democrat
3631,Democrat
3639,Republican
3654,Democrat
3656,Democrat
3663,Democrat
3673,Democrat
3681,Democrat
3683,Democrat
3687,Democrat
3688,Democrat
3690,Democrat
3691,Democrat
3693,Democrat
3703,Democrat
3710,Democrat
3713,Democrat
3718,Democrat
3719,Democrat
3720,Democrat
3727,Democrat
3728,Democrat
3734,Democrat
3742,Republican
3749,Republican
3753,Democrat
3760,Democrat
3762,Democrat
3768,Democrat
3770,Democrat
3781,Democrat
3783,Democrat
3789,Democrat
3790,Democrat
3791,Democrat
3800,Democrat
3801,Democrat
3808,Democrat
3810,Democrat
3817,Democrat
3819,Democrat
3827,Democrat
3829,Democrat
3833,Democrat
3836,Democrat
3842,Democrat
3843,Democrat
3845,Democrat
3848,Democrat
3853,Republican
3856,Republican
3857,Democrat
3870,Democrat
3877,Republican
3886,Democrat
3891,Democrat
3896,Republican
3899,Democrat
3900,Democrat
3910,Republican
3911,Democrat
3913,Democrat
3914,Democrat
3915,Democrat
3923,Democrat
3927,Democrat
3930,Democrat
3932,Democrat
3933,Democrat
3937,Democrat
3938,Democrat
3960,Democrat
3962,Democrat
3964,Democrat
3968,Democrat
3971,Democrat
3975,Democrat
4013,Democrat
4015,Democrat
4034,Democrat
4040,Democrat
4057,Democrat
4058,Democrat
4060,Democrat
4062,Republican
4064,Democrat
4065,Republican
4069,Democrat
4077,Democrat
4079,Democrat
4085,Democrat
4086,Democrat
4094,Democrat
4095,Democrat
4096,Democrat
4100,Democrat
4107,Democrat
4116,Democrat
4118,Democrat
4120,Democrat
4123,Democrat
4125,Democrat
4130,Democrat
4136,Democrat
4137,Democrat
4145,Democrat
4164,Democrat
4173,Democrat
4175,Democrat
4184,Democrat
4189,Democrat
4202,Democrat
4204,Democrat
4205,Democrat
4207,Democrat
4209,Democrat
4216,Democrat
4219,Democrat
4226,Democrat
4230,Democrat
4231,Democrat
4235,Democrat
4243,Democrat
4246,Democrat
4249,Democrat
4255,Democrat
4261,Democrat
4262,Democrat
4274,Democrat
4275,Democrat
4277,Democrat
4279,Democrat
4288,Democrat
4293,Democrat
4302,Democrat
4307,Democrat
4309,Democrat
4316,Democrat
4317,Republican
4326,Democrat
4329,Democrat
4331,Democrat
4332,Democrat
4338,Democrat
4346,Democrat
4351,Democrat
4359,Democrat
4362,Democrat
4366,Democrat
4368,Democrat
4375,Democrat
4377,Democrat
4387,Democrat
4388,Democrat
4395,Democrat
4398,Democrat
4401,Democrat
4405,Democrat
4410,Democrat
4413,Democrat
4417,Republican
4425,Democrat
4428,Democrat
4435,Democrat
4436,Democrat
4441,Democrat
4444,Democrat
4454,Democrat
4463,Democrat
4471,Democrat
4475,Democrat
4481,Democrat
4486,Democrat
4490,Republican
4493,Democrat
4494,Democrat
4500,Democrat
4503,Democrat
4518,Democrat
4522,Democrat
4527,Democrat
4532,Democrat
4535,Republican
4541,Democrat
4549,Democrat
4551,Democrat
4557,Democrat
4559,Republican
4562,Democrat
4564,Democrat
4566,Democrat
4567,Democrat
4568,Republican
4577,Democrat
4580,Democrat
4586,Democrat
4587,Democrat
4596,Democrat
4597,Democrat
4611,Democrat
4625,Democrat
4629,Democrat
4634,Democrat
4640,Democrat
4644,Democrat
4646,Democrat
4651,Democrat
4655,Republican
4657,Democrat
4663,Democrat
4666,Democrat
4669,Democrat
4672,Democrat
4676,Democrat
4681,Democrat
4683,Democrat
4720,Democrat
4724,Democrat
4725,Democrat
4729,Democrat
4738,Republican
4739,Democrat
4740,Democrat
4743,Democrat
4745,Republican
4746,Democrat
4751,Democrat
4763,Democrat
4766,Democrat
4770,Democrat
4771,Republican
4778,Democrat
4786,Democrat
4788,Democrat
4793,Democrat
4810,Democrat
4811,Democrat
4814,Democrat
4820,Democrat
4821,Democrat
4823,Democrat
4829,Democrat
4830,Republican
4834,Democrat
4854,Republican
4860,Democrat
4868,Democrat
4873,Republican
4875,Republican
4877,Republican
4879,Republican
4882,Democrat
4888,Democrat
4891,Democrat
4893,Democrat
4899,Democrat
4902,Democrat
4905,Democrat
4906,Democrat
4917,Democrat
4920,Democrat
4923,Democrat
4935,Democrat
4938,Democrat
4939,Democrat
4950,Democrat
4960,Democrat
4961,Democrat
4963,Democrat
4967,Democrat
4971,Democrat
4980,Democrat
4991,Democrat
4993,Democrat
4995,Democrat
5000,Democrat
5002,Democrat
5003,Democrat
5008,Democrat
5011,Republican
5021,Republican
5023,Democrat
5030,Democrat
5031,Republican
5038,Democrat
5047,Democrat
5052,Democrat
5058,Democrat
5059,Democrat
5060,Democrat
5062,Democrat
5067,Republican
5072,Democrat
5079,Democrat
5080,Democrat
5081,Democrat
5084,Democrat
5087,Democrat
5093,Democrat
5097,Republican
5098,Democrat
5104,Democrat
5109,Democrat
5122,Democrat
5130,Democrat
5131,Democrat
5134,Democrat
5143,Democrat
5155,Democrat
5156,Democrat
5157,Democrat
5169,Democrat
5175,Democrat
5176,Democrat
5177,Democrat
5179,Democrat
5181,Democrat
5183,Democrat
5191,Democrat
5200,Democrat
5204,Democrat
5209,Democrat
5215,Democrat
5217,Democrat
5225,Democrat
5227,Democrat
5246,Democrat
5254,Democrat
5255,Republican
5256,Democrat
5262,Democrat
5263,Democrat
5266,Republican
5269,Democrat
5270,Democrat
5276,Republican
5301,Democrat
5306,Republican
5312,Democrat
5313,Democrat
5322,Democrat
5331,Democrat
5332,Democrat
5333,Republican
5335,Democrat
5339,Democrat
5342,Democrat
5343,Democrat
5347,Democrat
5349,Republican
5352,Democrat
5353,Democrat
5355,Democrat
5360,Democrat
5368,Democrat
5369,Democrat
5372,Democrat
5375,Democrat
5380,Democrat
5386,Republican
5389,Democrat
5391,Democrat
5392,Democrat
5405,Democrat
5412,Democrat
5422,Democrat
5424,Democrat
5427,Democrat
5430,Democrat
5434,Democrat
5438,Democrat
5439,Democrat
5442,Republican
5447,Democrat
5454,Democrat
5473,Democrat
5475,Democrat
5479,Democrat
5481,Democrat
5488,Democrat
5514,Democrat
5515,Democrat
5518,Democrat
5532,Democrat
5533,Democrat
5534,Democrat
5542,Republican
5547,Democrat
5550,Democrat
5558,Democrat
5559,Democrat
5560,Democrat
5571,Democrat
5573,Democrat
5574,Republican
5576,Democrat
5577,Republican
5581,Democrat
5585,Republican
5589,Democrat
5592,Democrat
5599,Democrat
5607,Democrat
5608,Democrat
5617,Democrat
5622,Democrat
5625,Democrat
5626,Republican
5636,Democrat
5643,Democrat
5645,Democrat
5648,Republican
5649,Democrat
5661,Democrat
5662,Democrat
5674,Democrat
5679,Democrat
5687,Democrat
5689,Democrat
5690,Democrat
5699,Democrat
5707,Democrat
5712,Democrat
5713,Democrat
5717,Republican
5725,Democrat
5731,Democrat
5732,Democrat
5743,Democrat
5745,Democrat
5747,Democrat
5748,Democrat
5750,Republican
5751,Democrat
5768,Democrat
5773,Democrat
5779,Democrat
5781,Republican
5790,Democrat
5791,Republican
5798,Democrat
5803,Democrat
5806,Democrat
5807,Democrat
5808,Republican
5810,Democrat
5824,Democrat
5834,Democrat
5843,Democrat
5844,Democrat
5847,Democrat
5852,Democrat
5861,Democrat
5866,Democrat
5868,Democrat
5877,Democrat
5880,Democrat
5883,Democrat
5884,Republican
5903,Democrat
5911,Republican
5912,Democrat
5917,Democrat
5924,Democrat
5933,Democrat
5934,Democrat
5941,Democrat
5948,Democrat
5955,Democrat
5958,Democrat
5960,Republican
5963,Democrat
5965,Democrat
5970,Democrat
5972,Democrat
5974,Democrat
5976,Democrat
5980,Democrat
5983,Democrat
5986,Republican
5990,Democrat
6000,Democrat
6006,Democrat
6016,Democrat
6018,Democrat
6020,Democrat
6023,Democrat
6024,Republican
6026,Democrat
6028,Democrat
6033,Democrat
6035,Democrat
6041,Democrat
6054,Democrat
6057,Democrat
6059,Democrat
6060,Republican
6064,Democrat
6067,Democrat
6071,Democrat
6074,Democrat
6075,Democrat
6077,Democrat
6087,Democrat
6094,Democrat
6104,Republican
6106,Democrat
6113,Republican
6115,Democrat
6116,Democrat
6120,Democrat
6127,Democrat
6143,Democrat
6150,Democrat
6155,Democrat
6163,Democrat
6167,Democrat
6169,Democrat
6173,Democrat
6174,Democrat
6185,Democrat
6188,Democrat
6191,Democrat
6192,Democrat
6195,Democrat
6201,Democrat
6208,Democrat
6213,Republican
6215,Democrat
6222,Democrat
6228,Democrat
6231,Democrat
6233,Democrat
6235,Democrat
6244,Democrat
6251,Democrat
6259,Democrat
6262,Democrat
6263,Republican
6268,Democrat
6272,Democrat
6278,Democrat
6285,Democrat
6287,Democrat
6291,Republican
6300,Democrat
6302,Democrat
6305,Democrat
6316,Democrat
6337,Democrat
6344,Democrat
6346,Democrat
6348,Democrat
6356,Democrat
6360,Democrat
6369,Democrat
6375,Democrat
6383,Democrat
6389,Democrat
6393,Democrat
6396,Democrat
6404,Republican
6408,Republican
6410,Republican
6416,Democrat
6425,Democrat
6428,Republican
6431,Democrat
6436,Democrat
6439,Democrat
6442,Democrat
6447,Democrat
6449,Democrat
6457,Democrat
6468,Democrat
6470,Democrat
6474,Democrat
6480,Republican
6482,Democrat
6487,Democrat
6489,Democrat
6490,Democrat
6521,Democrat
6529,Democrat
6534,Democrat
6540,Democrat
6550,Democrat
6553,Democrat
6554,Democrat
6559,Democrat
6565,Democrat
6576,Democrat
6577,Democrat
6578,Democrat
6582,Democrat
6583,Democrat
6585,Democrat
6586,Democrat
6589,Democrat
6595,Democrat
6602,Democrat
6606,Democrat
6609,Democrat
6618,Democrat
6623,Democrat
6631,Republican
6633,Democrat
6634,Democrat
6639,Democrat
6640,Republican
6645,Democrat
6648,Democrat
6652,Republican
6655,Democrat
6662,Democrat
6666,Democrat
6667,Democrat
6671,Republican
6677,Democrat
6680,Democrat
6682,Democrat
6686,Democrat
6687,Democrat
6692,Democrat
6695,Democrat
6700,Democrat
6701,Democrat
6705,Democrat
6709,Democrat
6723,Democrat
6724,Democrat
6728,Democrat
6732,Democrat
6757,Democrat
6760,Democrat
6778,Democrat
6781,Democrat
6785,Republican
6790,Democrat
6791,Democrat
6795,Democrat
6796,Democrat
6799,Democrat
6807,Democrat
6811,Republican
6813,Democrat
6814,Republican
6816,Democrat
6817,Democrat
6825,Democrat
6830,Democrat
6837,Democrat
6843,Democrat
6844,Democrat
6845,Democrat
6848,Democrat
6852,Democrat
6859,Democrat
6860,Democrat
6864,Democrat
6865,Democrat
6867,Democrat
6870,Democrat
6871,Democrat
6876,Democrat
6879,Democrat
6887,Democrat
6892,Democrat
6895,Democrat
6898,Republican
6904,Democrat
6914,Democrat
6919,Democrat
6921,Democrat
6922,Democrat
6928,Democrat
6930,Democrat
6941,Democrat
6946,Democrat
6947,Democrat
